province_name,year,month,mean_temp
Aceh,1964,May,25.19
Aceh,1964,Jun,24.55
Aceh,1964,Jul,24.31
Aceh,1964,Aug,24.39
Aceh,1964,Sep,24.9
Aceh,1964,Oct,24.98
Aceh,1964,Nov,24.82
Aceh,1964,Dec,24.42
Aceh,1965,Jan,23.62
Aceh,1965,Feb,24.38
Aceh,1965,Mar,24.52
Aceh,1965,Apr,24.88
Aceh,1965,May,24.96
Aceh,1965,Jun,24.59
Aceh,1965,Jul,24.36
Aceh,1965,Aug,24.42
Aceh,1965,Sep,24.6
Aceh,1965,Oct,25.08
Aceh,1965,Nov,25.29
Aceh,1965,Dec,24.86
Aceh,1966,Jan,24.34
Aceh,1966,Feb,24.74
Aceh,1966,Mar,24.84
Aceh,1966,Apr,25.46
Aceh,1966,May,25.13
Aceh,1966,Jun,24.48
Aceh,1966,Jul,24.34
Aceh,1966,Aug,24.51
Aceh,1966,Sep,24.88
Aceh,1966,Oct,24.98
Aceh,1966,Nov,25.04
Aceh,1966,Dec,24.84
Aceh,1967,Jan,23.75
Aceh,1967,Feb,23.92
Aceh,1967,Mar,24.39
Aceh,1967,Apr,24.98
Aceh,1967,May,24.94
Aceh,1967,Jun,24.44
Aceh,1967,Jul,24.35
Aceh,1967,Aug,24.4
Aceh,1967,Sep,24.96
Aceh,1967,Oct,24.89
Aceh,1967,Nov,25.04
Aceh,1967,Dec,24.68
Aceh,1968,Jan,23.96
Aceh,1968,Feb,24.18
Aceh,1968,Mar,24.65
Aceh,1968,Apr,25.04
Aceh,1968,May,24.88
Aceh,1968,Jun,24.64
Aceh,1968,Jul,24.4
Aceh,1968,Aug,24.65
Aceh,1968,Sep,24.8
Aceh,1968,Oct,24.94
Aceh,1968,Nov,25.36
Aceh,1968,Dec,25.03
Aceh,1969,Jan,24.64
Aceh,1969,Feb,24.65
Aceh,1969,Mar,25.23
Aceh,1969,Apr,25.67
Aceh,1969,May,25.64
Aceh,1969,Jun,24.73
Aceh,1969,Jul,24.63
Aceh,1969,Aug,24.49
Aceh,1969,Sep,24.96
Aceh,1969,Oct,25.26
Aceh,1969,Nov,24.83
Aceh,1969,Dec,24.8
Aceh,1970,Jan,24.52
Aceh,1970,Feb,24.61
Aceh,1970,Mar,25.02
Aceh,1970,Apr,25.39
Aceh,1970,May,25.34
Aceh,1970,Jun,24.79
Aceh,1970,Jul,24.25
Aceh,1970,Aug,24.6
Aceh,1970,Sep,24.77
Aceh,1970,Oct,24.99
Aceh,1970,Nov,25.0
Aceh,1970,Dec,24.8
Aceh,1971,Jan,23.74
Aceh,1971,Feb,23.81
Aceh,1971,Mar,24.22
Aceh,1971,Apr,25.25
Aceh,1971,May,24.99
Aceh,1971,Jun,24.32
Aceh,1971,Jul,24.29
Aceh,1971,Aug,24.05
Aceh,1971,Sep,24.98
Aceh,1971,Oct,24.87
Aceh,1971,Nov,24.56
Aceh,1971,Dec,24.58
Aceh,1972,Jan,23.73
Aceh,1972,Feb,24.43
Aceh,1972,Mar,24.5
Aceh,1972,Apr,24.8
Aceh,1972,May,25.35
Aceh,1972,Jun,24.69
Aceh,1972,Jul,24.98
Aceh,1972,Aug,24.81
Aceh,1972,Sep,25.08
Aceh,1972,Oct,25.42
Aceh,1972,Nov,25.35
Aceh,1972,Dec,25.24
Aceh,1973,Jan,24.7
Aceh,1973,Feb,25.14
Aceh,1973,Mar,24.98
Aceh,1973,Apr,25.71
Aceh,1973,May,25.16
Aceh,1973,Jun,24.89
Aceh,1973,Jul,24.62
Aceh,1973,Aug,24.64
Aceh,1973,Sep,24.88
Aceh,1973,Oct,25.14
Aceh,1973,Nov,24.99
Aceh,1973,Dec,24.08
Aceh,1974,Jan,23.43
Aceh,1974,Feb,23.96
